Date Signed,Project Number,Project Name,Country Code,Developing Member Country,Region,Department,Operations Division,Category Type (Sovereign/Nonsovereign Financing),Project Financing Amount ($ million),Mode of Financial Assistance,Product Type,Loan/Grant/Investment/Approval Number,Project Financing Type,Fund Source,Signed amount ($ million),Primary Sector,Sector,Climate Change Response,Climate Change Impact on the Project,Adaptation Finance ($ million),Mitigation Finance ($ million),Type of Financing,Currency,Project URL
24-Sep-2019,51327-001,Floating Solar Energy Project,VIE,Viet Nam,Southeast Asia,PSOD,PSIF2,Nonsovereign,,Project Loan,Loan,8350,Cofinancing (Syndicated/Contractual),Clean Energy Financing Partnership Facility (Canadian Climate Fund for the Private Sector in Asia),11.000,Energy,Energy,Mitigation,Low,,11.000,Investment,USD,https://www.adb.org/projects/51327-001/main
22-Mar-2019,51399-001,Eco-Industrial Park Waste-to-Energy Project,PRC,People's Republic of China,East Asia,PSOD,PSIF2,Nonsovereign,400.000,Project Loan,Loan,7576/3750,ADB funds,OCR,100.000,Energy,Energy,Mitigation,Low,,100.000,Investment,USD,https://www.adb.org/projects/51399-001/main
25-Sep-2019,48096-002,Arghandab Integrated Water Resources Development Project,AFG,Afghanistan,Central and West Asia,CWRD,CWER,Sovereign,633.040,Grant projects,Grant,655,ADB funds,ADF,348.780,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,High,131.740,,Investment,USD,https://www.adb.org/projects/48096-002/main
27-Aug-2019,51257-001,North-South Corridor (Kvesheti-Kobi) Road Project,GEO,Georgia,Central and West Asia,CWRD,CWTC,Sovereign,558.600,Project loan,Loan,3803,ADB funds,OCR,410.224,Transport,Transport,Adaptation,High,170.000,,Investment,USD,https://www.adb.org/projects/51257-001/main
27-Nov-2019,53178-001,East-West Highway (Shorapani-Argveta Section) Improvement Project,GEO,Georgia,Central and West Asia,CWRD,CWTC,Sovereign,367.400,Project loan,Loan,3861,ADB funds,OCR,281.146,Transport,Transport,Adaptation,Medium,0.630,,Investment,USD,https://www.adb.org/projects/53178-001/main
1-Nov-2019,49240-002,Uch-Kurgan Hydropower Plant Modernization Project (formerly Energy Sector Project),KGZ,Kyrgyz Republic,Central and West Asia,CWRD,CWEN,Sovereign,160.000,Project loan,Loan,3778,ADB funds,Concessional OCR,60.000,Energy,Energy,Dual-use,Medium,5.000,50.000,Investment,USD,https://www.adb.org/projects/49240-002/main
1-Nov-2019,49240-002,Uch-Kurgan Hydropower Plant Modernization Project (formerly Energy Sector Project),KGZ,Kyrgyz Republic,Central and West Asia,CWRD,CWEN,Sovereign,,Project loan,Grant,0643,ADB funds,ADF,40.000,Energy,Energy,Dual-use,Medium,5.000,35.000,Investment,USD,https://www.adb.org/projects/49240-002/main
25-Dec-2019,52256-001,Naryn Rural Water Supply and Sanitation Development Program,KGZ,Kyrgyz Republic,Central and West Asia,CWRD,CWUW,Sovereign,33.125,Results Based Lending,Loan,3854,ADB funds,Concessional OCR,13.700,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Medium,0.617,,Investment,USD,https://www.adb.org/projects/52256-001/main
25-Dec-2019,52256-001,Naryn Rural Water Supply and Sanitation Development Program,KGZ,Kyrgyz Republic,Central and West Asia,CWRD,CWUW,Sovereign,,Results Based Lending,Grant,676,ADB funds,ADF,13.700,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Medium,0.617,,Investment,USD,https://www.adb.org/projects/52256-001/main
9-Dec-2019,53165-001,Energy Sector Reforms and Financial Sustainability Program (Subprogram 1),PAK,Pakistan,Central and West Asia,CWRD,CWEN,Sovereign,380.000,Programmatic Approach Policy-Based Lending (Loan),Loan,3881,ADB funds,Concessional OCR,300.000,Energy,Energy,Mitigation,Low,,45.000,Investment,USD,https://www.adb.org/projects/53165-001/main
