Date Signed,Project Number,Project Name,Country Code,Developing Member Country,Region,Department,Operations Division,Category Type (Sovereign/Nonsovereign Financing),Project Financing Amount ($ million),Mode of Financial Assistance,Product Type,Loan/Grant/Investment/Approval Number,Project Financing Type,Fund Source,Signed amount ($ million),Primary Sector,Sector,Climate Change Response,Climate Change Impact on the Project,Adaptation Finance ($ million),Mitigation Finance ($ million),Type of Financing,Currency,Project URL
15-Feb-2019,50287-001,Promoting Low-Carbon Development in Central Asia Regional Economic Cooperation Program Cities,REG (AFG; AZE; PRC; KAZ; KGZ; MON; PAK; TAJ; TKM; UZB),Regional (Afghanistan; Azerbaijan; People's Republic of China; Georgia; Kazakhstan; Kyrgyz Republic; Mongolia; Pakistan; Tajikistan; Turkmenistan; Uzbekistan),Regional,EARD,EASI,Sovereign,,CDTA,Technical assistance,9308,Cofinancing (Syndicated/Contractual),Climate Investment Funds (Clean Technology Fund),,Energy,Water and other urban infrastructure and services,Dual-use,Low,0.200,,Technical assistance,USD,https://www.adb.org/projects/50287-001/main
24-Jun-2019,50370-001,Implementation of Sustainable Transport for All,REG (ARM; BHU; CAM; FIJ; GEO; IND; INO; KAZ; LAO; MAL; MYA; PAK; PNG; PRC; PHI; SRI; TIM; TON; VIE),Regional (Armenia; Bhutan; Cambodia; Fiji; Georgia; India; Indonesia; Kazakhstan; Lao People's Democratic Republic; Malaysia; Myanmar; Pakistan; Papua New Guinea; People's Republic of China; Philippines; Sri Lanka; Timor-Leste; Tonga; Viet Nam),Regional,SDCC,SDSC-TRA,Sovereign,2.000,CDTA,Technical assistance,9420,ADB funds,TASF,1.000,Transport,Transport,Dual-use,Low,,,Technical assistance,USD,https://www.adb.org/projects/50370-001/main
24-Jun-2019,50370-001,Implementation of Sustainable Transport for All,REG (ARM; BHU; CAM; FIJ; GEO; IND; INO; KAZ; LAO; MAL; MYA; PAK; PNG; PRC; PHI; SRI; TIM; TON; VIE),Regional (Armenia; Bhutan; Cambodia; Fiji; Georgia; India; Indonesia; Kazakhstan; Lao People's Democratic Republic; Malaysia; Myanmar; Pakistan; Papua New Guinea; People's Republic of China; Philippines; Sri Lanka; Timor-Leste; Tonga; Viet Nam),Regional,SDCC,SDSC-TRA,Sovereign,,CDTA,Technical assistance,9420,Cofinancing (Syndicated/Contractual),Urban Climate Change Resilience Trust Fund,1.000,Transport,Transport,Dual-use,Low,0.500,0.500,Technical assistance,USD,https://www.adb.org/projects/50370-001/main
08-May-2019,51044-001,Supporting Project Preparation,PRC,People's Republic of China,East Asia,EARD,PRCM,Sovereign,2.112,TRTA,Technical assistance,9437,ADB funds,TASF,0.312,Health,Transport,Mitigation,High,,,Technical assistance,USD,https://www.adb.org/projects/51044-001/main
08-May-2019,51044-001,Supporting Project Preparation,PRC,People's Republic of China,East Asia,EARD,PRCM,Sovereign,,TRTA,Technical assistance,9437,Cofinancing (Syndicated/Contractual),Clean Energy Financing Partnership Facility (Clean Energy Fund),0.500,Health,Transport,Mitigation,High,,0.500,Technical assistance,USD,https://www.adb.org/projects/51044-001/main
08-May-2019,51044-001,Supporting Project Preparation,PRC,People's Republic of China,East Asia,EARD,PRCM,Sovereign,,TRTA,Technical assistance,9437,Cofinancing (Syndicated/Contractual),Sanitation Financing Partnership Trust Fund under the Water Financing Partnership Facility,0.500,Health,Transport,Mitigation,High,,,Technical assistance,USD,https://www.adb.org/projects/51044-001/main
08-May-2019,51044-001,Supporting Project Preparation,PRC,People's Republic of China,East Asia,EARD,PRCM,Sovereign,,TRTA,Technical assistance,9437,Cofinancing (Syndicated/Contractual),Urban Environmental Infrastructure Fund,0.300,Health,Transport,Mitigation,High,,0.300,Technical assistance,USD,https://www.adb.org/projects/51044-001/main
08-May-2019,51044-001,Supporting Project Preparation,PRC,People's Republic of China,East Asia,EARD,PRCM,Sovereign,,TRTA,Technical assistance,9437,Cofinancing (Syndicated/Contractual),Republic of Korea e-Asia and Knowledge Partnership Fund,0.500,Health,Transport,Mitigation,High,,0.500,Technical assistance,USD,https://www.adb.org/projects/51044-001/main
18-Sep-2019,52064-001,Southeast Asia Urban Services Facility,REG (Southeast Asia),Regional (Southeast Asia),Southeast Asia,SERD,SEUW,Sovereign,11.200,TRTA,Technical assistance,9554,Cofinancing (Syndicated/Contractual),ASEAN Australia Smart Cities Trust Fund,10.000,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Adaptation,Low,,,Technical assistance,USD,https://www.adb.org/projects/52064-001/main
18-Sep-2019,52064-001,Southeast Asia Urban Services Facility,REG (Southeast Asia),Regional (Southeast Asia),Southeast Asia,SERD,SEUW,Sovereign,,TRTA,Technical assistance,9554,Cofinancing (Syndicated/Contractual),Urban Climate Change Resilience Trust Fund,1.200,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Adaptation,Low,1.200,,Technical assistance,USD,https://www.adb.org/projects/52064-001/main
21-Oct-2019,52096-001,"Southeast Asia Energy Sector Development, Investment Planning and Capacity Building Facility",REG (Southeast Asia),"Regional (Cambodia, Indonesia, Myanmar, Philippines, Viet Nam)",Southeast Asia,SERD,SEEN,Sovereign,2.350,TRTA,Technical assistance,9600,ADB funds,TASF,1.000,Energy,Energy,Mitigation,Low,,1.000,Technical assistance,USD,https://www.adb.org/projects/52096-001/main
28-Jun-2019,52096-001,"Southeast Asia Energy Sector Development, Investment Planning and Capacity Building Facility",REG (Southeast Asia),"Regional (Cambodia, Indonesia, Myanmar, Philippines, Viet Nam)",Southeast Asia,SERD,SEEN,Sovereign,,TRTA,Technical assistance,9600,Cofinancing (Syndicated/Contractual),Clean Energy Financing Partnership Facility (Clean Energy Fund),0.650,Energy,Energy,Mitigation,Low,,0.650,Technical assistance,USD,https://www.adb.org/projects/52096-001/main
28-Jun-2019,52096-001,"Southeast Asia Energy Sector Development, Investment Planning and Capacity Building Facility",REG (Southeast Asia),"Regional (Cambodia, Indonesia, Myanmar, Philippines, Viet Nam)",Southeast Asia,SERD,SEEN,Sovereign,,TRTA,Technical assistance,9600,Cofinancing (Syndicated/Contractual),Clean Energy Financing Partnership Facility (Clean Energy Fund),0.700,Energy,Energy,Mitigation,Low,,0.700,Technical assistance,USD,https://www.adb.org/projects/52096-001/main
21-May-2019,52077-001,Green and Innovative Finance Initiative for Scaling Up Southeast Asian Infrastructure,REG (BRU; CAM; INO; LAO; MAL; MYA; PHI; SIN; THA; VIE),Regional (Brunei Darussalam; Cambodia; Indonesia; Lao People's Democratic Republic; Malaysia; Myanmar;  Philippines; Singapore; Thailand; Viet Nam),Southeast Asia,SERD,SEOD,Sovereign,2.500,KSTA,Technical assistance,9621,ADB funds,TASF,1.000,Finance,Finance,Mitigation,Low,,0.750,Technical assistance,USD,https://www.adb.org/projects/52077-001/main
21-May-2019,52077-001,Green and Innovative Finance Initiative for Scaling Up Southeast Asian Infrastructure,REG (BRU; CAM; INO; LAO; MAL; MYA; PHI; SIN; THA; VIE),Regional (Brunei Darussalam; Cambodia; Indonesia; Lao People's Democratic Republic; Malaysia; Myanmar;  Philippines; Singapore; Thailand; Viet Nam),Southeast Asia,SERD,SEOD,Sovereign,2.500,KSTA,Technical assistance,9621,ADB funds,TASF,1.000,Finance,Transport,Mitigation,Low,,0.250,Technical assistance,USD,https://www.adb.org/projects/52077-001/main
21-May-2019,52077-001,Green and Innovative Finance Initiative for Scaling Up Southeast Asian Infrastructure,REG (BRU; CAM; INO; LAO; MAL; MYA; PHI; SIN; THA; VIE),Regional (Brunei Darussalam; Cambodia; Indonesia; Lao People's Democratic Republic; Malaysia; Myanmar;  Philippines; Singapore; Thailand; Viet Nam),Southeast Asia,SERD,SEOD,Sovereign,,KSTA,Technical assistance,9621,ADB funds,Financial Sector Development Partnership Special Fund,0.500,Finance,Finance,Mitigation,Low,,0.445,Technical assistance,USD,https://www.adb.org/projects/52077-001/main
21-May-2019,52077-001,Green and Innovative Finance Initiative for Scaling Up Southeast Asian Infrastructure,REG (BRU; CAM; INO; LAO; MAL; MYA; PHI; SIN; THA; VIE),Regional (Brunei Darussalam; Cambodia; Indonesia; Lao People's Democratic Republic; Malaysia; Myanmar;  Philippines; Singapore; Thailand; Viet Nam),Southeast Asia,SERD,SEOD,Sovereign,,KSTA,Technical assistance,9621,ADB funds,Financial Sector Development Partnership Special Fund,0.500,Finance,Transport,Mitigation,Low,,0.055,Technical assistance,USD,https://www.adb.org/projects/52077-001/main
20-Dec-2019,52077-001,Green and Innovative Finance Initiative for Scaling Up Southeast Asian Infrastructure,REG (BRU; CAM; INO; LAO; MAL; MYA; PHI; SIN; THA; VIE),Regional (Brunei Darussalam; Cambodia; Indonesia; Lao People's Democratic Republic; Malaysia; Myanmar;  Philippines; Singapore; Thailand; Viet Nam),Southeast Asia,SERD,SEOD,Sovereign,,KSTA,Technical assistance,9621,ADB funds,TASF,1.000,Finance,Finance,Mitigation,Low,,0.750,Technical assistance,USD,https://www.adb.org/projects/52077-001/main
20-Dec-2019,52077-001,Green and Innovative Finance Initiative for Scaling Up Southeast Asian Infrastructure,REG (BRU; CAM; INO; LAO; MAL; MYA; PHI; SIN; THA; VIE),Regional (Brunei Darussalam; Cambodia; Indonesia; Lao People's Democratic Republic; Malaysia; Myanmar;  Philippines; Singapore; Thailand; Viet Nam),Southeast Asia,SERD,SEOD,Sovereign,,KSTA,Technical assistance,9621,ADB funds,TASF,1.000,Finance,Transport,Mitigation,Low,,0.250,Technical assistance,USD,https://www.adb.org/projects/52077-001/main
07-Feb-2019,52260-001,"Capacity Building for Structural Transformation, Country Programming, and Portfolio Management",PAK,Pakistan,Central and West Asia,CWRD,PRM,Sovereign,0.750,KSTA,Technical assistance,9676,Cofinancing (Syndicated/Contractual),Clean Energy Financing Partnership Facility (Clean Energy Fund),0.750,Transport,Transport,Mitigation,Low,,0.750,Technical assistance,USD,https://www.adb.org/projects/52260-001/main
29-Oct-2019,46470-003,Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia,REG (South Asia),Regional (South Asia),South Asia,SARD,SAOD,Sovereign,0.231,TRTA,Technical assistance,9700,ADB funds,TASF,0.231,Energy,"Agriculture, natural resources and rural development",Dual-use,Low,0.027,0.012,Technical assistance,USD,https://www.adb.org/projects/46470-003/main
29-Oct-2019,46470-003,Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia,REG (South Asia),Regional (South Asia),South Asia,SARD,SAOD,Sovereign,,TRTA,Technical assistance,9700,ADB funds,TASF,,Energy,Energy,Dual-use,Low,0.022,0.065,Technical assistance,USD,https://www.adb.org/projects/46470-003/main
29-Oct-2019,46470-003,Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia,REG (South Asia),Regional (South Asia),South Asia,SARD,SAOD,Sovereign,,TRTA,Technical assistance,9700,ADB funds,TASF,,Energy,Transport,Dual-use,Low,0.043,0.043,Technical assistance,USD,https://www.adb.org/projects/46470-003/main
29-Oct-2019,46470-003,Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia,REG (South Asia),Regional (South Asia),South Asia,SARD,SAOD,Sovereign,,TRTA,Technical assistance,9700,ADB funds,TASF,,Energy,Water and other urban infrastructure and services,Dual-use,Low,0.010,0.010,Technical assistance,USD,https://www.adb.org/projects/46470-003/main
01-Mar-2019,52004-002,Supporting Ambitious Climate Action through Implementation of Developing Member Countries' Nationally Determined Contributions (Subproject 1),REG,Regional,Regional,SDCC,SDCD,Sovereign,3.000,KSTA,Technical assistance,9716,ADB funds,Climate Change Fund,3.000,Energy,Energy,Dual-use,Low,0.250,0.500,Technical assistance,USD,https://www.adb.org/projects/52004-002/main
01-Mar-2019,52004-002,Supporting Ambitious Climate Action through Implementation of Developing Member Countries' Nationally Determined Contributions (Subproject 1),REG,Regional,Regional,SDCC,SDCD,Sovereign,,KSTA,Technical assistance,9716,ADB funds,Climate Change Fund,,Energy,"Agriculture, natural resources and rural development",Dual-use,Low,0.250,0.500,Technical assistance,USD,https://www.adb.org/projects/52004-002/main
01-Mar-2019,52004-002,Supporting Ambitious Climate Action through Implementation of Developing Member Countries' Nationally Determined Contributions (Subproject 1),REG,Regional,Regional,SDCC,SDCD,Sovereign,,KSTA,Technical assistance,9716,ADB funds,Climate Change Fund,,Energy,Transport,Dual-use,Low,0.250,0.500,Technical assistance,USD,https://www.adb.org/projects/52004-002/main
01-Mar-2019,52004-002,Supporting Ambitious Climate Action through Implementation of Developing Member Countries' Nationally Determined Contributions (Subproject 1),REG,Regional,Regional,SDCC,SDCD,Sovereign,,KSTA,Technical assistance,9716,ADB funds,Climate Change Fund,,Energy,Water and other urban infrastructure and services,Dual-use,Low,0.250,0.500,Technical assistance,USD,https://www.adb.org/projects/52004-002/main
19-Mar-2019,52004-005,"Supporting the Implementation of ADB's Climate Change Operational Framework 2017–2030 - Establishing Mechanisms to Measure, Monitor, and Report on Commitments made under the Paris Agreement (Subproject 3)",REG,Regional,Regional,SDCC,SDCD,Sovereign,0.750,KSTA,Technical assistance,9720,ADB funds,TASF,0.750,Public sector management,Public sector management,Dual-use,Low,0.172,0.228,Technical assistance,USD,https://www.adb.org/projects/52004-005/main
19-Mar-2019,52004-005,"Supporting the Implementation of ADB's Climate Change Operational Framework 2017–2030 - Establishing Mechanisms to Measure, Monitor, and Report on Commitments made under the Paris Agreement (Subproject 3)",REG,Regional,Regional,SDCC,SDCD,Sovereign,,KSTA,Technical assistance,9720,ADB funds,TASF,,Public sector management,"Agriculture, natural resources and rural development",Dual-use,Low,0.022,0.028,Technical assistance,USD,https://www.adb.org/projects/52004-005/main
19-Mar-2019,52004-005,"Supporting the Implementation of ADB's Climate Change Operational Framework 2017–2030 - Establishing Mechanisms to Measure, Monitor, and Report on Commitments made under the Paris Agreement (Subproject 3)",REG,Regional,Regional,SDCC,SDCD,Sovereign,,KSTA,Technical assistance,9720,ADB funds,TASF,,Public sector management,Energy,Dual-use,Low,0.087,0.113,Technical assistance,USD,https://www.adb.org/projects/52004-005/main
19-Mar-2019,52004-005,"Supporting the Implementation of ADB's Climate Change Operational Framework 2017–2030 - Establishing Mechanisms to Measure, Monitor, and Report on Commitments made under the Paris Agreement (Subproject 3)",REG,Regional,Regional,SDCC,SDCD,Sovereign,,KSTA,Technical assistance,9720,ADB funds,TASF,,Public sector management,Transport,Dual-use,Low,0.022,0.028,Technical assistance,USD,https://www.adb.org/projects/52004-005/main
19-Mar-2019,52004-005,"Supporting the Implementation of ADB's Climate Change Operational Framework 2017–2030 - Establishing Mechanisms to Measure, Monitor, and Report on Commitments made under the Paris Agreement (Subproject 3)",REG,Regional,Regional,SDCC,SDCD,Sovereign,,KSTA,Technical assistance,9720,ADB funds,TASF,,Public sector management,Water and other urban infrastructure and services,Dual-use,Low,0.022,0.028,Technical assistance,USD,https://www.adb.org/projects/52004-005/main
04-May-2019,52233-002,Preparing the Nadi Flood Alleviation Project,FIJ,Fiji,Pacific,PARD,SPSO,Sovereign,2.015,TRTA,Technical assistance,9724,Cofinancing (Syndicated/Contractual),Japan Fund for Poverty Reduction,2.000,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Adaptation,High,2.000,,Technical assistance,USD,https://www.adb.org/projects/52233-002/main
22-May-2019,53022-002,Preparing the Landslide Risk Management Sector Project,KGZ,Kyrgyz Republic,Central and West Asia,CWRD,CWER,Sovereign,1.100,TRTA,Technical assistance,9726,ADB funds,TASF,1.000,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Low,0.500,,Technical assistance,USD,https://www.adb.org/projects/53022-002/main
23-Apr-2019,53142-001,Scoping of Community Resilience Partnership Program,REG,Regional,Regional,SDCC,SDCD,Sovereign,0.225,KSTA,Technical assistance,9728,Cofinancing (Syndicated/Contractual),Integrated Disaster Risk Management Fund,0.225,Public sector management,Public sector management,Adaptation,Low,0.225,,Technical assistance,USD,https://www.adb.org/projects/53142-001/main
22-Jun-2019,51182-001,Capacity Development in the Electric Utility Industry,CAM,Cambodia,Southeast Asia,SERD,SEEN,Sovereign,0.500,TRTA,Technical assistance,9736,Cofinancing (Syndicated/Contractual),Republic of Korea e-Asia and Knowledge Partnership Fund,0.500,Energy,Energy,Mitigation,High,0.500,,Technical assistance,USD,https://www.adb.org/projects/51182-001/main
06-Jun-2019,52227-001,Deploying Solar Systems at Scale,REG (South Asia),Bangladesh; Bhutan; India; Maldives; Nepal; Sri Lanka; Regional,South Asia,SARD,SAEN,Sovereign,2.000,KSTA,Technical assistance,9742,Cofinancing (Syndicated/Contractual),Clean Energy Financing Partnership Facility (Clean Energy Fund),2.000,Energy,Energy,Mitigation,Low,,2.000,Technical assistance,USD,https://www.adb.org/projects/52227-001/main
29-May-2019,52004-004,Supporting the Implementation of ADB's Climate Change Operational Framework 2017–2030 - Enhancing Financial Mechanisms to Develop Climate Actions of Developing Member Countries (Subproject 2),REG,Regional,Regional,SDCC,SDCD,Sovereign,0.800,KSTA,Technical assistance,9744,ADB funds,TASF,0.800,Finance,Finance,Dual-use,Low,0.300,0.500,Technical assistance,USD,https://www.adb.org/projects/52004-004/main
09-Jul-2019,48453-009,Promoting and Scaling Up Carbon Capture and Storage Demonstration-Feasibility Assessment of a Large-Scale Carbon Capture and Storage Demonstration Project and Development Support to Yanchang Petroleum Group (Subproject 2),PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,4.300,KSTA,Technical assistance,9745,Cofinancing (Syndicated/Contractual),Clean Energy Financing Partnership Facility (Carbon Capture and Storage Fund),4.300,Energy,Energy,Mitigation,Medium,,3.200,Technical assistance,USD,https://www.adb.org/projects/48453-009/main
09-Jul-2019,48453-009,Promoting and Scaling Up Carbon Capture and Storage Demonstration-Feasibility Assessment of a Large-Scale Carbon Capture and Storage Demonstration Project and Development Support to Yanchang Petroleum Group (Subproject 2),PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,,KSTA,Technical assistance,9745,Cofinancing (Syndicated/Contractual),Clean Energy Financing Partnership Facility (Carbon Capture and Storage Fund),,Energy,Finance,Mitigation,Medium,,1.100,Technical assistance,USD,https://www.adb.org/projects/48453-009/main
17-Jun-2019,52304-001,Establishing a Platform for Climate-Resilient and Low-Carbon Urban Development,REG,Regional,Regional,SDCC,SDCD,Sovereign,1.000,KSTA,Technical assistance,9748,Cofinancing (Syndicated/Contractual),Urban Climate Change Resilience Trust Fund,1.000,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Low,0.500,0.500,Technical assistance,USD,https://www.adb.org/projects/52304-001/main
28-Jun-2019,52349-001,Study on the Municipal Climate Finance Roadmap,PRC,People's Republic of China,East Asia,EARD,EAPF,Sovereign,0.225,KSTA,Technical assistance,9759,ADB funds,Financial Sector Development Partnership Special Fund,0.225,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,High,0.113,0.113,Technical assistance,USD,https://www.adb.org/projects/52349-001/main
12-Jul-2019,52362-002,Spectra Solar Power Project,BAN,Bangladesh,South Asia,PSOD,PSIF1,Nonsovereign,0.225,TRTA,Technical assistance,9762,Cofinancing (Syndicated/Contractual),Clean Energy Financing Partnership Facility (Canadian Climate Fund for the Private Sector in Asia),0.225,Energy,Energy,Mitigation,,,0.225,Technical assistance,USD,https://www.adb.org/projects/52362-002/main
19-Jul-2019,49450-022,Preparing the Pacific Renewable Energy Investment Facility (Phase 2),REG (Pacific),Cook Islands; Federated States of Micronesia; Kiribati; Marshall Islands; Nauru; Palau; Tuvalu; Regional,Pacific,PARD,PAEN,Sovereign,4.000,TRTA,Technical assistance,9772,ADB funds,TASF,3.000,Energy,Energy,Mitigation,Low,,3.000,Technical assistance,USD,https://www.adb.org/projects/49450-022/main
19-Jul-2019,49450-022,Preparing the Pacific Renewable Energy Investment Facility (Phase 2),REG (Pacific),Cook Islands; Federated States of Micronesia; Kiribati; Marshall Islands; Nauru; Palau; Tuvalu; Regional,Pacific,PARD,PAEN,Sovereign,,TRTA,Technical assistance,9772,Cofinancing (Syndicated/Contractual),Climate Investment Funds (Strategic Climate Fund),1.000,Energy,Energy,Mitigation,Low,,1.000,Technical assistance,USD,https://www.adb.org/projects/49450-022/main
28-Aug-2019,53038-002,Preparing the Climate-Resilient and Sustainable Livestock Development Project,MON,Mongolia,East Asia,EARD,EAER,Sovereign,0.750,TRTA,Technical assistance,9775,ADB funds,TASF,0.750,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Medium,0.750,,Technical assistance,USD,https://www.adb.org/projects/53038-002/main
02-Aug-2019,53148-001,Sustainable Tourism Development in the Central Asia Regional Economic Cooperation Region,AFG; AZE; GEO; KAZ; KGZ; MON; PAK; PRC; TAJ; TKM; UZB; REG,Afghanistan; Azerbaijan; Georgia; Kazakhstan; Kyrgyz Republic; Mongolia; Pakistan; People's Republic of China; Tajikistan; Turkmenistan; Uzbekistan; Regional,Regional,CWRD,CWRC; CWUW,Sovereign,2.000,KSTA,Technical assistance,9776,ADB funds,TASF,0.500,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Low,0.052,0.052,Technical assistance,USD,https://www.adb.org/projects/53148-001/main
02-Aug-2019,53148-001,Sustainable Tourism Development in the Central Asia Regional Economic Cooperation Region,AFG; AZE; GEO; KAZ; KGZ; MON; PAK; PRC; TAJ; TKM; UZB; REG,Afghanistan; Azerbaijan; Georgia; Kazakhstan; Kyrgyz Republic; Mongolia; Pakistan; People's Republic of China; Tajikistan; Turkmenistan; Uzbekistan; Regional,Regional,CWRD,CWRC; CWUW,Sovereign,,KSTA,Technical assistance,9776,ADB funds,TASF,,Water and other urban infrastructure and services,Industry and trade,Dual-use,Low,0.018,0.018,Technical assistance,USD,https://www.adb.org/projects/53148-001/main
02-Aug-2019,53148-001,Sustainable Tourism Development in the Central Asia Regional Economic Cooperation Region,AFG; AZE; GEO; KAZ; KGZ; MON; PAK; PRC; TAJ; TKM; UZB; REG,Afghanistan; Azerbaijan; Georgia; Kazakhstan; Kyrgyz Republic; Mongolia; Pakistan; People's Republic of China; Tajikistan; Turkmenistan; Uzbekistan; Regional,Regional,CWRD,CWRC; CWUW,Sovereign,,KSTA,Technical assistance,9776,ADB funds,TASF,,Water and other urban infrastructure and services,Information and communication technology,Dual-use,Low,0.010,0.010,Technical assistance,USD,https://www.adb.org/projects/53148-001/main
02-Aug-2019,53148-001,Sustainable Tourism Development in the Central Asia Regional Economic Cooperation Region,AFG; AZE; GEO; KAZ; KGZ; MON; PAK; PRC; TAJ; TKM; UZB; REG,Afghanistan; Azerbaijan; Georgia; Kazakhstan; Kyrgyz Republic; Mongolia; Pakistan; People's Republic of China; Tajikistan; Turkmenistan; Uzbekistan; Regional,Regional,CWRD,CWRC; CWUW,Sovereign,,KSTA,Technical assistance,9776,ADB funds,TASF,,Water and other urban infrastructure and services,Transport,Dual-use,Low,0.020,0.020,Technical assistance,USD,https://www.adb.org/projects/53148-001/main
02-Aug-2019,53148-001,Sustainable Tourism Development in the Central Asia Regional Economic Cooperation Region,AFG; AZE; GEO; KAZ; KGZ; MON; PAK; PRC; TAJ; TKM; UZB; REG,Afghanistan; Azerbaijan; Georgia; Kazakhstan; Kyrgyz Republic; Mongolia; Pakistan; People's Republic of China; Tajikistan; Turkmenistan; Uzbekistan; Regional,Regional,CWRD,CWRC; CWUW,Sovereign,,KSTA,Technical assistance,9776,Cofinancing (Syndicated/Contractual),United Kingdom Fund for Asia Regional Trade and Connectivity,1.500,Water and other urban infrastructure and services,Industry and trade,Dual-use,Low,0.105,0.105,Technical assistance,USD,https://www.adb.org/projects/53148-001/main
02-Aug-2019,53148-001,Sustainable Tourism Development in the Central Asia Regional Economic Cooperation Region,AFG; AZE; GEO; KAZ; KGZ; MON; PAK; PRC; TAJ; TKM; UZB; REG,Afghanistan; Azerbaijan; Georgia; Kazakhstan; Kyrgyz Republic; Mongolia; Pakistan; People's Republic of China; Tajikistan; Turkmenistan; Uzbekistan; Regional,Regional,CWRD,CWRC; CWUW,Sovereign,,KSTA,Technical assistance,9776,Cofinancing (Syndicated/Contractual),United Kingdom Fund for Asia Regional Trade and Connectivity,,Water and other urban infrastructure and services,Information and communication technology,Dual-use,Low,0.008,0.008,Technical assistance,USD,https://www.adb.org/projects/53148-001/main
02-Aug-2019,53148-001,Sustainable Tourism Development in the Central Asia Regional Economic Cooperation Region,AFG; AZE; GEO; KAZ; KGZ; MON; PAK; PRC; TAJ; TKM; UZB; REG,Afghanistan; Azerbaijan; Georgia; Kazakhstan; Kyrgyz Republic; Mongolia; Pakistan; People's Republic of China; Tajikistan; Turkmenistan; Uzbekistan; Regional,Regional,CWRD,CWRC; CWUW,Sovereign,,KSTA,Technical assistance,9776,Cofinancing (Syndicated/Contractual),United Kingdom Fund for Asia Regional Trade and Connectivity,,Water and other urban infrastructure and services,Transport,Dual-use,Low,0.112,0.112,Technical assistance,USD,https://www.adb.org/projects/53148-001/main
05-Aug-2019,52152-002,Sustainable Infrastructure Assistance Program Phase II - Supporting Sustainable and Efficient Energy Policies and Investments (Subproject 2),INO,Indonesia,Southeast Asia,SERD,SEEN,Sovereign,1.500,TRTA,Technical assistance,9777,Cofinancing (Syndicated/Contractual),Australia,1.500,Energy,Energy,Mitigation,Low,,1.500,Technical assistance,USD,https://www.adb.org/projects/52152-002/main
30-Aug-2019,53120-002,Preparing the Climate Adaptive Water Resources Management in the Aral Sea Basin Project,UZB,Uzbekistan,Central and West Asia,CWRD,CWER,Sovereign,1.200,TRTA,Technical assistance,9782,ADB funds,TASF,1.200,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,High,1.200,,Technical assistance,USD,https://www.adb.org/projects/53120-002/main
09-Aug-2019,53246-001,Developing Private Sector Sustainable Transportation Opportunities in Southeast Asia,INO; PHI; THA; VIE; REG,Indonesia; Philippines; Thailand; Viet Nam; Regional,Southeast Asia,PSOD,PSPM,Nonsovereign,0.225,KSTA,Technical assistance,9783,Cofinancing (Syndicated/Contractual),Climate Investment Funds (Clean Technology Fund),0.225,Transport,Transport,Mitigation,,,0.225,Technical assistance,USD,https://www.adb.org/projects/53246-001/main
21-Sep-2019,52353-001,"Transport and Trade Facilitation Strategy, 2020–2040",ARM,Armenia,Central and West Asia,CWRD,CWTC,Sovereign,1.000,KSTA,Technical assistance,9793,ADB funds,TASF,1.000,Transport,Transport,Dual-use,Low,0.120,0.120,Technical assistance,USD,https://www.adb.org/projects/52353-001/main
23-Sep-2019,53265-001,Improving Gender Equality in Nonsovereign Climate Finance Operations,REG AFG ARM BAN BHU CAM FIJ IND INO KIR KGZ LAO MLD MON MYA NEP PAK PAL PNG PHI SAM SOL SRI TAJ TIM TON TUV UZB VAN VIE RMI,Regional,Regional,PSOD,PSIS,Nonsovereign,0.225,KSTA,Technical assistance,9806,Cofinancing (Syndicated/Contractual),Clean Energy Financing Partnership Facility (Canadian Climate Fund for the Private Sector in Asia),0.225,Energy,Energy,Dual-use,,0.113,0.113,Technical assistance,USD,https://www.adb.org/projects/53265-001/main
25-Oct-2019,50130-002,Enhancing Climate Resilience of Hydropower Plants,UZB,Uzbekistan,Central and West Asia,CWRD,CWEN,Sovereign,1.700,TRTA,Technical assistance,9812,ADB funds,Climate Change Fund,1.000,Energy,Energy,Dual-use,Medium,0.250,0.750,Technical assistance,USD,https://www.adb.org/projects/50130-002/main
25-Oct-2019,50130-002,Enhancing Climate Resilience of Hydropower Plants,UZB,Uzbekistan,Central and West Asia,CWRD,CWEN,Sovereign,,TRTA,Technical assistance,9812,Cofinancing (Syndicated/Contractual),Clean Energy Financing Partnership Facility (Clean Energy Fund),0.500,Energy,Energy,Dual-use,Medium,0.125,0.375,Technical assistance,USD,https://www.adb.org/projects/50130-002/main
