Date Signed,Project Number,Project Name,Country Code,Developing Member Country,Region,Department,Operations Division,Category Type (Sovereign/Nonsovereign Financing),Project Financing Amount ($ million),Mode of Financial Assistance,Product Type,Loan/Grant/Investment/Approval Number,Project Financing Type,Fund Source,Signed amount ($ million),Primary Sector,Sector,Other Sector(s) Covered,Climate Change Response,Climate Change Impact on the Project,Adaptation Finance ($ million),Mitigation Finance ($ million),Type of Financing,Currency,Project URL,,,,,,,,,,,,,,
15-Sep-20,54022-001,Disaster Resilience Improvement Program,PHI,Philippines,Southeast Asia,SERD,SEPF,Sovereign,,Stand-alone policy-based lending (loan),Loan,3968,ADB funds,OCR,,Finance,Public sector management,Finance; Health,Adaptation,Low,28.39,,Investment,USD,https://www.adb.org/projects/54022-001/main,,,,,,,,,,,,,,
20-Aug-20,53353-001,Competitive and Inclusive Agriculture Development Program (Subprogram 1),PHI,Philippines,Southeast Asia,SERD,SEER,Sovereign,400,Programmatic Approach Policy-Based Lending (Loan),Loan,3957,ADB funds,OCR,400,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",,Dual-use,Low,40,12.31,Investment,USD,https://www.adb.org/projects/53353-001/main,,,,,,,,,,,,,,
29-Dec-20,51117-003,Epifanio de los Santos Avenue Greenways Project,PHI,Philippines,Southeast Asia,SERD,SETC,Sovereign,179.3,Project loan,Loan,4043,ADB funds,OCR,123,Transport,Transport,,Mitigation,Low,,123,Investment,USD,https://www.adb.org/projects/51117-003/main,,,,,,,,,,,,,,
29-Dec-20,51117-003,Epifanio de los Santos Avenue Greenways Project,PHI,Philippines,Southeast Asia,SERD,SETC,Sovereign,,Project loan,Loan,8391,Cofinancing (Syndicated/Contractual),ASEAN Infrastructure Fund,15,Transport,Transport,,Mitigation,Low,,15,Investment,USD,https://www.adb.org/projects/51117-003/main,,,,,,,,,,,,,,
24-Nov-20,54432-001,Viet Nam Tropical Storms Response Project,VIE,Viet Nam,Southeast Asia,SERD,VRM,Sovereign,2.5,Grant projects,Grant,0750,ADB funds,Asia Pacific Disaster Response Fund,2.5,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",,Adaptation,High,2.5,,Investment,USD,https://www.adb.org/projects/54432-001/main,,,,,,,,,,,,,,
15-May-20,53174-001,Southern Thailand Wind Power and Battery Energy Storage Project,THA,Thailand,Southeast Asia,PSOD,PSIF2,Nonsovereign,26.93,Local Currency Loan,Loan,3889,ADB funds,OCR,7.33437066,Energy,Energy,,Mitigation,High,,7.33437066,Investment,USD,https://www.adb.org/projects/53174-001/main,,,,,,,,,,,,,,
15-May-20,53174-001,Southern Thailand Wind Power and Battery Energy Storage Project,THA,Thailand,Southeast Asia,PSOD,PSIF2,Nonsovereign,,Local Currency Loan,Loan,8377,Cofinancing (Syndicated/Contractual),Climate Investment Funds (Clean Technology Fund),4.75,Energy,Energy,,Mitigation,High,,4.75,Investment,USD,https://www.adb.org/projects/53174-001/main,,,,,,,,,,,,,,
05-Jun-20,52375-001,New Energy Bus Leasing Project,PRC,People's Republic of China,East Asia,PSOD,PSFI,Nonsovereign,300,LIBOR Based Loan,Loan,3890,ADB funds,OCR,80,Finance,Finance,Transport,Mitigation,Low,,40,Investment,USD,https://www.adb.org/projects/52375-001/main,,,,,,,,,,,,,,
05-Jun-20,52375-001,New Energy Bus Leasing Project,PRC,People's Republic of China,East Asia,PSOD,PSFI,Nonsovereign,,LIBOR Based Loan,Loan,3890,ADB funds,OCR,,Finance,Transport,Finance,Mitigation,Low,,40,Investment,USD,https://www.adb.org/projects/52375-001/main,,,,,,,,,,,,,,
07-Aug-20,53310-001,Solar Energy Finance Project,PRC,People's Republic of China,East Asia,PSOD,PSFI,Nonsovereign,70,LIBOR Based Loan,Loan,3891,ADB funds,OCR,70.032121,Finance,Finance,Energy,Mitigation,Low,,35.0160605,Investment,USD,https://www.adb.org/projects/53310-001/main,,,,,,,,,,,,,,
07-Aug-20,53310-001,Solar Energy Finance Project,PRC,People's Republic of China,East Asia,PSOD,PSFI,Nonsovereign,,LIBOR Based Loan,Loan,3891,ADB funds,OCR,,Finance,Energy,Finance,Mitigation,Low,,35.0160605,Investment,USD,https://www.adb.org/projects/53310-001/main,,,,,,,,,,,,,,
05-Jun-20,53270-001,B.Grimm Viet Nam Solar Power Project (Phu Yen Project),VIE,Viet Nam,Southeast Asia,PSOD,PSIF2,Nonsovereign,248,LIBOR Based Loan,Loan,3902,ADB funds,OCR,27.9,Energy,Energy,,Mitigation,Medium,,27.9,Investment,USD,https://www.adb.org/projects/53270-001/main,,,,,,,,,,,,,,
05-Jun-20,53270-001,B.Grimm Viet Nam Solar Power Project (Phu Yen Project),VIE,Viet Nam,Southeast Asia,PSOD,PSIF2,Nonsovereign,,LIBOR Based Loan,Loan,8379,Cofinancing (Syndicated/Contractual),Leading Asia's Private Infrastructure Fund,9.3,Energy,Energy,,Mitigation,Medium,,9.3,Investment,USD,https://www.adb.org/projects/53270-001/main,,,,,,,,,,,,,,
09-Oct-20,53270-001,B.Grimm Viet Nam Solar Power Project (Phu Yen Project),VIE,Viet Nam,Southeast Asia,PSOD,PSIF2,Nonsovereign,,LIBOR Based Loan,Loan,CF93,B-loan,B-loan,148.8,Energy,Energy,,Mitigation,Medium,,148.8,Investment,USD,https://www.adb.org/projects/53270-001/main,,,,,,,,,,,,,,
22-Aug-20,54035-001,Gujarat Solar Power Project,IND,India,South Asia,PSOD,PSIF1,Nonsovereign,152.4,Local Currency Loan,Loan,3904,ADB funds,OCR,62.410397,Energy,Energy,,Mitigation,Low,,62.410397,Investment,USD,https://www.adb.org/projects/54035-001/main,,,,,,,,,,,,,,
08-Sep-20,53397-001,Asian Sustainable Infrastructure Mobilization Project,REG,Regional,Regional,PSOD,PSFI; PSIF2,Nonsovereign,129,Direct Investment,Equity investment,7636,ADB funds,OCR,30,Finance,Finance,,Mitigation,Low,,30,Investment,USD,https://www.adb.org/projects/53397-001/main,,,,,,,,,,,,,,
08-Sep-20,53397-001,Asian Sustainable Infrastructure Mobilization Project,REG,Regional,Regional,PSOD,PSFI; PSIF2,Nonsovereign,,Direct Investment,Equity investment,7636,Cofinancing (Syndicated/Contractual),Leading Asia's Private Infrastructure Fund,45,Finance,Finance,,Mitigation,Low,,27,Investment,USD,https://www.adb.org/projects/53397-001/main,,,,,,,,,,,,,,
10-Sep-20,54165-001,ReNew Power COVID-19 Liquidity Support Project,IND,India,South Asia,PSOD,PSIF1,Nonsovereign,117.6,Debt Security,Loan,7639,ADB funds,OCR,50.907704,Energy,Energy,,Mitigation,Low,,50.907704,Investment,USD,https://www.adb.org/projects/54165-001/main,,,,,,,,,,,,,,
25-Dec-20,54268-001,Green Loan for Renewable Energy and Electric Vehicle Charging Network,THA,Thailand,Southeast Asia,PSOD,PSIF2,Nonsovereign,47.619,Local Currency Loan,Loan,3966,ADB funds,OCR,50.364302,Energy,Energy,Transport,Mitigation,Low,,47.002028,Investment,USD,https://www.adb.org/projects/54268-001/main,,,,,,,,,,,,,,
25-Dec-20,54268-001,Green Loan for Renewable Energy and Electric Vehicle Charging Network,THA,Thailand,Southeast Asia,PSOD,PSIF2,Nonsovereign,,Local Currency Loan,Loan,3966,ADB funds,OCR,,Energy,Transport,Energy,Mitigation,Low,,3.362274,Investment,USD,https://www.adb.org/projects/54268-001/main,,,,,,,,,,,,,,
14-Dec-20,52090-001,Climate-Resilient and Smart Urban Water Infrastructure Project,PRC,People's Republic of China,East Asia,PSOD,EAPF; PRCM; PSIF2,Nonsovereign,400,LIBOR Based Loan,Loan,3962,ADB funds,OCR,105.448155,Water and other urban infrastructure and services,Water and other urban infrastructure and services,,Adaptation,Medium,21.089631,,Investment,USD,https://www.adb.org/projects/52090-001/main,,,,,,,,,,,,,,
28-Sep-20,52126-002,Avaada Solar Phase 2 Project,IND,India,South Asia,PSOD,PSIF1,Nonsovereign,984.1,Direct Investment,Equity investment,7643,ADB funds,OCR,7.5,Energy,Energy,,Mitigation,Low,,7.5,Investment,USD,https://www.adb.org/projects/52126-002/main,,,,,,,,,,,,,,
28-Sep-20,52126-002,Avaada Solar Phase 2 Project,IND,India,South Asia,PSOD,PSIF1,Nonsovereign,,Direct Investment,Equity investment,JL09,Cofinancing (Syndicated/Contractual),Leading Asia's Private Infrastructure Fund,7.5,Energy,Energy,,Mitigation,Low,,7.5,Investment,USD,https://www.adb.org/projects/52126-002/main,,,,,,,,,,,,,,
09-Dec-20,53340-001,Navoi Solar Power Project,UZB,Uzbekistan,Central and West Asia,PSOD,PSIF1,Nonsovereign,110.1,LIBOR Based Loan,Loan,3986,ADB funds,OCR,10,Energy,Energy,,Mitigation,Low,,10,Investment,USD,https://www.adb.org/projects/53340-001/main,,,,,,,,,,,,,,
09-Dec-20,53340-001,Navoi Solar Power Project,UZB,Uzbekistan,Central and West Asia,PSOD,PSIF1,Nonsovereign,,LIBOR Based Loan,Loan,8388,Cofinancing (Syndicated/Contractual),Canadian Climate Fund for the Private Sector in Asia II,8,Energy,Energy,,Mitigation,Low,,8,Investment,USD,https://www.adb.org/projects/53340-001/main,,,,,,,,,,,,,,
28-Dec-20,54241-001,Azure Power COVID-19 Liquidity Support Project,IND,India,South Asia,PSOD,PSIF1,Nonsovereign,30.9,Debt Security,Loan,7649,ADB funds,OCR,20.319697,Energy,Energy,,Mitigation,Low,,20.319697,Investment,USD,https://www.adb.org/projects/54241-001/main,,,,,,,,,,,,,,
24-Nov-20,54333-001,Indorama Ventures Regional Blue Loan Project,REG; THA; INO; PHI; IND,Regional; Thailand; Indonesia; Philippines; India,Regional,PSOD,PSIF2,Nonsovereign,300,LIBOR Based Loan,Loan,4008,ADB funds,OCR,50,Water and other urban infrastructure and services,Water and other urban infrastructure and services,,Mitigation,Low,,45,Investment,USD,https://www.adb.org/projects/54333-001/main,,,,,,,,,,,,,,
24-Nov-20,54333-001,Indorama Ventures Regional Blue Loan Project,REG; THA; INO; PHI; IND,Regional; Thailand; Indonesia; Philippines; India,Regional,PSOD,PSIF2,Nonsovereign,,LIBOR Based Loan,Loan,8386,Cofinancing (Syndicated/Contractual),Leading Asia's Private Infrastructure Fund,50,Water and other urban infrastructure and services,Water and other urban infrastructure and services,,Mitigation,Low,,45,Investment,USD,https://www.adb.org/projects/54333-001/main,,,,,,,,,,,,,,
26-Jun-20,49106-005,Strengthening Climate Change Resilience in Urban India - Strengthening Smart Urban Mass Rapid Transit and Climate Change Resilience in the National Capital Region (Subproject 3),IND,India,South Asia,SARD,SATC,Sovereign,2.891185,TRTA,Technical assistance,9829,Cofinancing (Syndicated/Contractual),Urban Climate Change Resilience Trust Fund,2.891185,Transport,Transport,,Adaptation,Low,0.26048,,Technical Assistance,USD,https://www.adb.org/projects/49106-005/main,,,,,,,,,,,,,,
25-Mar-20,53237-002,Preparing the Climate and Disaster Resilient Small-Scale Water Resources Management Project,BAN,Bangladesh,South Asia,SARD,SAER,Sovereign,1.25,TRTA,Technical assistance,9927,ADB funds,TASF,0.5,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",,Adaptation,Low,0.15,,Technical Assistance,USD,https://www.adb.org/projects/53237-002/main,,,,,,,,,,,,,,
25-Mar-20,53237-002,Preparing the Climate and Disaster Resilient Small-Scale Water Resources Management Project,BAN,Bangladesh,South Asia,SARD,SAER,Sovereign,,TRTA,Technical assistance,9927,Cofinancing (Syndicated/Contractual),Water Financing Partnership Facility,0.75,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",,Adaptation,Low,0.225,,Technical Assistance,USD,https://www.adb.org/projects/53237-002/main,,,,,,,,,,,,,,
30-Jul-20,50059-003,Attached TA to South Asia Subregional Economic Cooperation Power Transmission and Distribution System Strengthening Project,NEP,Nepal,South Asia,SARD,SAEN,Sovereign,,TRTA,Technical assistance,6526,Cofinancing (Syndicated/Contractual),Norway,5,Energy,Energy,,Dual-use,Low,,,Technical Assistance,USD,https://www.adb.org/projects/50059-003/main,,,,,,,,,,,,,,
10-Jul-20,54113-001,Nowcasting and Disasters: Impact-Based Forecasting and Socioeconomic Monitoring,REG,Regional,Regional,ERCD,ERMR,Sovereign,2,KSTA,Technical assistance,6536,Cofinancing (Syndicated/Contractual),Japan Fund for Poverty Reduction,2,Public sector management,Public sector management,,Adaptation,Low,1,,Technical Assistance,USD,https://www.adb.org/projects/54113-001/main,,,,,,,,,,,,,,
14-Jul-20,53348-001,Investing in Climate Change Adaptation through Agroecological Landscape Restoration: A Nature-Based Solution for Climate Resilience,REG,Regional,Regional,SDCC,SDCD,Sovereign,2,KSTA,Technical assistance,6539,Cofinancing (Syndicated/Contractual),Japan Fund for Poverty Reduction,2,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",,Adaptation,Low,2,,Technical Assistance,USD,https://www.adb.org/projects/53348-001/main,,,,,,,,,,,,,,
01-Sep-20,51077-003,Attached TA to Greater Male Waste-to-Energy Project (Supporting Capacity for Sustainable Waste-to-Energy Service Delivery),MLD,Maldives,South Asia,SARD,SAUW,Sovereign,,TRTA,Technical assistance,6548,ADB funds,TASF,0.5,Water and other urban infrastructure and services,Water and other urban infrastructure and services,,Dual-use,High,0,0,Technical Assistance,USD,https://www.adb.org/projects/51077-003/main,,,,,,,,,,,,,,
08-Sep-20,54128-001,Implementing the Cities Development Initiative for Asia,REG,Regional,Regional,SDCC,SDSC-URB,Sovereign,4.5,KSTA,Technical assistance,6559,Cofinancing (Syndicated/Contractual),Cities Development Initiative for Asia Trust Fund,4.5,Water and other urban infrastructure and services,Water and other urban infrastructure and services,,Dual-use,Low,0.9,0.6,Technical Assistance,USD,https://www.adb.org/projects/54128-001/main,,,,,,,,,,,,,,
03-Oct-20,53224-001,Climate Change Financing Acceleration Platform,PRC,People's Republic of China,East Asia,EARD,PRCM,Sovereign,1,KSTA,Technical assistance,6560,Cofinancing (Syndicated/Contractual),Clean Energy Financing Partnership Facility (Clean Energy Fund),1,Energy,Energy,,Mitigation,High,,1,Technical Assistance,USD,https://www.adb.org/projects/53224-001/main,,,,,,,,,,,,,,
12-Sep-20,54210-001,Regional Support to Build Disease Resilient and Energy Efficient Centralized Air-conditioning Systems,REG,Regional,Regional,SDCC,SDSC-ENE,Sovereign,1,KSTA,Technical assistance,6563,Cofinancing (Syndicated/Contractual),High Level Technology Fund,0.5,Energy,Energy,Health; Water and other urban infrastructure and services,Mitigation,Low,,0.25,Technical Assistance,USD,https://www.adb.org/projects/54210-001/main,,,,,,,,,,,,,,
12-Sep-20,54210-001,Regional Support to Build Disease Resilient and Energy Efficient Centralized Air-conditioning Systems,REG,Regional,Regional,SDCC,SDSC-ENE,Sovereign,,KSTA,Technical assistance,6563,Cofinancing (Syndicated/Contractual),High Level Technology Fund,,Energy,Health,Energy; Water and other urban infrastructure and services,Mitigation,Low,,0.25,Technical Assistance,USD,https://www.adb.org/projects/54210-001/main,,,,,,,,,,,,,,
12-Sep-20,54210-001,Regional Support to Build Disease Resilient and Energy Efficient Centralized Air-conditioning Systems,REG,Regional,Regional,SDCC,SDSC-ENE,Sovereign,,KSTA,Technical assistance,6563,Cofinancing (Syndicated/Contractual),Clean Energy Financing Partnership Facility (Clean Energy Fund),0.5,Energy,Energy,Health; Water and other urban infrastructure and services,Mitigation,Low,,0.25,Technical Assistance,USD,https://www.adb.org/projects/54210-001/main,,,,,,,,,,,,,,
12-Sep-20,54210-001,Regional Support to Build Disease Resilient and Energy Efficient Centralized Air-conditioning Systems,REG,Regional,Regional,SDCC,SDSC-ENE,Sovereign,,KSTA,Technical assistance,6563,Cofinancing (Syndicated/Contractual),Clean Energy Financing Partnership Facility (Clean Energy Fund),,Energy,Health,Energy; Water and other urban infrastructure and services,Mitigation,Low,,0.2,Technical Assistance,USD,https://www.adb.org/projects/54210-001/main,,,,,,,,,,,,,,
12-Sep-20,54210-001,Regional Support to Build Disease Resilient and Energy Efficient Centralized Air-conditioning Systems,REG,Regional,Regional,SDCC,SDSC-ENE,Sovereign,,KSTA,Technical assistance,6563,Cofinancing (Syndicated/Contractual),Clean Energy Financing Partnership Facility (Clean Energy Fund),,Energy,Water and other urban infrastructure and services,Energy; Health,Mitigation,Low,,0.05,Technical Assistance,USD,https://www.adb.org/projects/54210-001/main,,,,,,,,,,,,,,
28-Sep-20,53341-001,Supporting Renewable Technology-Inclusive Heat Supply Legislation,KAZ,Kazakhstan,Central and West Asia,CWRD,CWEN,Sovereign,,KSTA,Technical assistance,6564,Cofinancing (Syndicated/Contractual),Republic of Korea e-Asia and Knowledge Partnership Fund,0.5,Energy,Energy,,Mitigation,Low,,0.5,Technical Assistance,USD,https://www.adb.org/projects/53341-001/main,,,,,,,,,,,,,,
28-Sep-20,53341-001,Supporting Renewable Technology-Inclusive Heat Supply Legislation,KAZ,Kazakhstan,Central and West Asia,CWRD,CWEN,Sovereign,,KSTA,Technical assistance,6564,Cofinancing (Syndicated/Contractual),Clean Energy Financing Partnership Facility (Clean Energy Fund),1,Energy,Energy,,Mitigation,Low,,1,Technical Assistance,USD,https://www.adb.org/projects/53341-001/main,,,,,,,,,,,,,,
23-Oct-20,52195-001,Implementation Support for the Priority River Basins Flood Risk Management Project,NEP,Nepal,South Asia,SARD,SAER,Sovereign,,TRTA,Technical assistance,6568,ADB funds,TASF,0.5,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",,Adaptation,High,,,Technical Assistance,USD,https://www.adb.org/projects/52195-001/main,,,,,,,,,,,,,,
23-Oct-20,52195-001,Implementation Support for the Priority River Basins Flood Risk Management Project,NEP,Nepal,South Asia,SARD,SAER,Sovereign,,TRTA,Technical assistance,6868,Cofinancing (Syndicated/Contractual),Water Financing Partnership Facility,0.75,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",,Adaptation,High,,,Technical Assistance,USD,https://www.adb.org/projects/52195-001/main,,,,,,,,,,,,,,
30-Sep-20,51132-002,Supporting High-Level Technology for Asset Management (attached TA to Sustainable Water Supply and Sanitation Sector Development Program),GEO,Georgia,Central and West Asia,CWRD,CWUW,Sovereign,,TRTA,Technical assistance,6570,Cofinancing (Syndicated/Contractual),High Level Technology Fund,0.225,Water and other urban infrastructure and services,Water and other urban infrastructure and services,"agriculture, natural resources and rural development",Dual-use,Medium,,,Technical Assistance,USD,https://www.adb.org/projects/51132-002/main,,,,,,,,,,,,,,
09-Oct-20,54023-001,Support to the Implementation of Strategy 2030 Operational Plans,REG,Regional,Regional,SDCC,SDTC,Sovereign,4.75,KSTA,Technical assistance,6574,ADB funds,TASF,4.75,Multisector,Multisector,,Dual-use,Low,0.225,0.23,Technical Assistance,USD,https://www.adb.org/projects/54023-001/main,,,,,,,,,,,,,,
01-Dec-20,54011-001,Attached TA to Disaster Resilient Clean Energy Financing,PAL,Palau,Pacific,PARD,PAEN,Sovereign,,CDTA,Technical assistance,6580,ADB funds,TASF,3,Energy,Energy,,Mitigation,Medium,,,Technical Assistance,USD,https://www.adb.org/projects/54011-001/main,,,,,,,,,,,,,,
24-Nov-20,54142-002,Preparing Renewable Energy for Climate Resilience,BHU,Bhutan,South Asia,SARD,SAEN,Sovereign,0.75,TRTA,Technical assistance,6598,ADB funds,TASF,0.5,Energy,Energy,,Adaptation,Medium,0.5,,Technical Assistance,USD,https://www.adb.org/projects/54142-002/main,,,,,,,,,,,,,,
24-Nov-20,54142-002,Preparing Renewable Energy for Climate Resilience,BHU,Bhutan,South Asia,SARD,SAEN,Sovereign,,TRTA,Technical assistance,6598,ADB funds,Climate Change Fund,0.25,Energy,Energy,,Adaptation,Medium,0.25,,Technical Assistance,USD,https://www.adb.org/projects/54142-002/main,,,,,,,,,,,,,,
14-Dec-20,54131-002,Strengthening Capacity to Design and Implement Energy Sector Projects,MLD,Maldives,South Asia,SARD,SAEN,Sovereign,0.5,TRTA,Technical assistance,6603,ADB funds,TASF,0.5,Energy,Energy,,Dual-use,Low,0.1,0.2,Technical Assistance,USD,https://www.adb.org/projects/54131-002/main,,,,,,,,,,,,,,
09-Dec-20,49273-004,Attached TA to Small and Medium-Sized Enterpises Line of Credit Project - Third Additional Financing,SRI,Sri Lanka,South Asia,SARD,SAPF,Sovereign,,TRTA,Technical assistance,6609,Cofinancing (Syndicated/Contractual),Japan Fund for Poverty Reduction,1.75,Finance,Finance,,Adaptation,Low,,,Technical Assistance,USD,https://www.adb.org/projects/49273-004/main,,,,,,,,,,,,,,
01-Dec-20,54137-001,"Marine Aquaculture, Reefs, Renewable Energy, and Ecotourism for Ecosystem Services",REG,Regional,Regional,SDCC,SDSC-ENE,Sovereign,1,KSTA,Technical assistance,6619,Cofinancing (Syndicated/Contractual),Clean Energy Financing Partnership Facility (Clean Energy Fund),1,Energy,Energy,,Dual-use,Low,0.8125,0.1875,Technical Assistance,USD,https://www.adb.org/projects/54137-001/main,,,,,,,,,,,,,,
03-Dec-20,54176-001,Building Institutional Capacity: Delivering Climate Solutions under Operational Priority 3 of Strategy 2030,REG,Regional,Regional,SDCC,SDCD,Sovereign,2,KSTA,Technical assistance,6627,ADB funds,Climate Change Fund,2,Public sector management,Public sector management,,Dual-use,Low,1,1,Technical Assistance,USD,https://www.adb.org/projects/54176-001/main,,,,,,,,,,,,,,
03-Dec-20,54412-001,Improved Decision-Making for Climate Resilient Development in Asia and the Pacific,REG; ARM; MON; INO,Regional; Armenia; Mongolia; Indonesia,Regional,SDCC,SDCD,Sovereign,2.15,KSTA,Technical assistance,6629,Cofinancing (Syndicated/Contractual),Climate Investment Funds (Strategic Climate Fund-Pilot Program for Climate Relience),2.15,Public sector management,Public sector management,,Adaptation,Low,2.15,,Technical Assistance,USD,https://www.adb.org/projects/54412-001/main,,,,,,,,,,,,,,
04-Dec-20,54026-003,Developing Legislative and Planning Mechanisms for Ecological Protection in the Yellow River Basin,PRC,People's Republic of China,East Asia,EARD,EAER,Sovereign,0.3,KSTA,Technical assistance,6633,ADB funds,TASF,0.3,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",,Adaptation,Low,0.15,,Technical Assistance,USD,https://www.adb.org/projects/54026-003/main,,,,,,,,,,,,,,
31-Dec-20,51395-003,"Enhancing Community Participation, Gender Mainstreaming, and Institutional Capacity Building of Uttar Pradesh Power Corporation Limited (Attached TA to Uttar Pradesh Power Distribution Network Rehabilitation Project – Tranche 1)",IND,India,South Asia,SARD,SAEN,Sovereign,,TRTA,Technical assistance,6636,ADB funds,TASF,0.5,Energy,Energy,,Dual-use,Medium,,,Technical Assistance,USD,https://www.adb.org/projects/51395-003/main,,,,,,,,,,,,,,
31-Dec-20,51395-003,"Enhancing Community Participation, Gender Mainstreaming, and Institutional Capacity Building of Uttar Pradesh Power Corporation Limited (Attached TA to Uttar Pradesh Power Distribution Network Rehabilitation Project – Tranche 1)",IND,India,South Asia,SARD,SAEN,Sovereign,,TRTA,Technical assistance,6636,Cofinancing (Syndicated/Contractual),Japan Fund for Poverty Reduction,1.5,Energy,Energy,,Dual-use,Medium,,,Technical Assistance,USD,https://www.adb.org/projects/51395-003/main,,,,,,,,,,,,,,
29-Dec-20,54408-001,Promoting Distributed Solar Photovoltaic Systems for Enhanced Access to Energy,UZB,Uzbekistan,Central and West Asia,CWRD,CWEN,Sovereign,1.35,KSTA,Technical assistance,6637,ADB funds,TASF,0.35,Energy,Energy,,Mitigation,Low,,0.35,Technical Assistance,USD,https://www.adb.org/projects/54408-001/main,,,,,,,,,,,,,,
29-Dec-20,54408-001,Promoting Distributed Solar Photovoltaic Systems for Enhanced Access to Energy,UZB,Uzbekistan,Central and West Asia,CWRD,CWEN,Sovereign,,KSTA,Technical assistance,6637,Cofinancing (Syndicated/Contractual),Clean Energy Financing Partnership Facility (Clean Energy Fund),1,Energy,Energy,,Mitigation,Low,,1,Technical Assistance,USD,https://www.adb.org/projects/54408-001/main,,,,,,,,,,,,,,
04-Dec-20,53315-001,Attached TA to Power Sector Development Program,TAJ,Tajikistan,Central and West Asia,CWRD,CWEN,Sovereign,,TRTA,Technical assistance,6639,ADB funds,TASF,0.2,Energy,Energy,,Mitigation,Low,,,Technical Assistance,USD,https://www.adb.org/projects/53315-001/main,,,,,,,,,,,,,,
29-Dec-20,54014-002,Preparing the Water Resources Sector Development Program,GEO,Georgia,Central and West Asia,CWRD,CWER,Sovereign,1,TRTA,Technical assistance,6648,ADB funds,TASF,0.9,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",,Adaptation,Medium,0.1,,Technical Assistance,USD,https://www.adb.org/projects/54014-002/main,,,,,,,,,,,,,,
31-Dec-20,54026-009,Improving Policies and Planning for Nature-Positive Development in the Huangshui River Source Area,PRC,People's Republic of China,East Asia,EARD,EAER,Sovereign,0.258,KSTA,Technical assistance,6657,ADB funds,TASF,0.258,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",,Adaptation,Low,0.258,,Technical Assistance,USD,https://www.adb.org/projects/54026-009/main,,,,,,,,,,,,,,
24-Dec-20,53326-001,Bengaluru Metro Rail Project,IND,India,South Asia,SARD,SATC,Sovereign,,TRTA,Technical assistance,6659,ADB funds,TASF,2,Transport,Transport,,Dual-use,Medium,,,Technical Assistance,USD,https://www.adb.org/projects/53326-001/main,,,,,,,,,,,,,,
30-Dec-20,54024-001,Customized Low-Carbon Development Models in Rural and Small and Medium-Sized Towns,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,0.988,KSTA,Technical assistance,6661,ADB funds,TASF,0.238,Energy,Energy,,Dual-use,Low,0.038,0.2,Technical Assistance,USD,https://www.adb.org/projects/54024-001/main,,,,,,,,,,,,,,
30-Dec-20,54024-001,Customized Low-Carbon Development Models in Rural and Small and Medium-Sized Towns,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,,KSTA,Technical assistance,6661,ADB funds,Climate Change Fund,0.75,Energy,Energy,,Dual-use,Low,0.05,0.7,Technical Assistance,USD,https://www.adb.org/projects/54024-001/main,,,,,,,,,,,,,,
09-Dec-20,54319-001,Strengthening Food Security Post-COVID-19 and Locust Attacks,PAK,Pakistan,Central and West Asia,CWRD,CWER,Sovereign,1.5,KSTA,Technical assistance,6663,ADB funds,TASF,1.1,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",,Adaptation,Low,,,Technical Assistance,USD,https://www.adb.org/projects/54319-001/main,,,,,,,,,,,,,,
09-Dec-20,54319-001,Strengthening Food Security Post-COVID-19 and Locust Attacks,PAK,Pakistan,Central and West Asia,CWRD,CWER,Sovereign,,KSTA,Technical assistance,6663,ADB funds,Climate Change Fund,0.2,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",,Adaptation,Low,0.2,,Technical Assistance,USD,https://www.adb.org/projects/54319-001/main,,,,,,,,,,,,,,
09-Dec-20,54319-001,Strengthening Food Security Post-COVID-19 and Locust Attacks,PAK,Pakistan,Central and West Asia,CWRD,CWER,Sovereign,,KSTA,Technical assistance,6663,Cofinancing (Syndicated/Contractual),Water Financing Partnership Facility,0.2,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",,Adaptation,Low,0.2,,Technical Assistance,USD,https://www.adb.org/projects/54319-001/main,,,,,,,,,,,,,,
15-Dec-20,49450-028,Preparing Floating Solar Plus Projects under the Pacific Renewable Energy Investment Facility,REG; KIR; TON; TUV; FSM; NAU; RMI; SOL; VAN; COO; PAL; SAM,Regional; Kiribati; Tonga; Tuvalu; Federated States of Micronesia; Nauru; Marshall Islands; Solomon Islands; Vanuatu; Cook Islands; Palau; Samoa,Pacific,PARD,PAEN,Sovereign,2,TRTA,Technical assistance,6680,Cofinancing (Syndicated/Contractual),Clean Energy Financing Partnership Facility (Asian Clean Energy Fund),2,Energy,Energy,,Mitigation,Low,,2,Technical Assistance,USD,https://www.adb.org/projects/49450-028/main,,,,,,,,,,,,,,
