Date Signed,Project Number,Project Name,Country Code,Developing Member Country,Region,Department,Operations Division,Category Type (Sovereign/Nonsovereign Financing),Project Financing Amount ($ million),Mode of Financial Assistance,Product Type,Loan/Grant/Investment/Approval Number,Project Financing Type,Fund Source,Signed amount ($ million),Primary Sector,Sector,Other Sector(s) Covered,Climate Change Response,Climate Change Impact on the Project,Adaptation Finance ($ million),Mitigation Finance ($ million),Type of Financing,Currency,Project URL,,,,,,,,,,,,,,
30-Dec-20,53106-001,Gulf Solar Power Project,VIE,Viet Nam,Southeast Asia,PSOD,PSIF2,Nonsovereign,,LIBOR Based Loan,Loan,3852,Cofinancing (Syndicated/Contractual),Leading Asia's Private Infrastructure Fund,7.6,Energy,Energy,,Mitigation,Low,,7.6,Investment,USD,https://www.adb.org/projects/53106-001/main,,,,,,,,,,,,,,
09-Nov-20,48042-002,Panj-Amu River Basin Sector Project - Additional Financing,AFG,Afghanistan,Central and West Asia,CWRD,AFRM,Sovereign,18.53,Project grant,Grant,0747,ADB funds,ADF,18.28,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",,Adaptation,High,6.4,,Investment,USD,https://www.adb.org/projects/48042-002/main,,,,,,,,,,,,,,
03-Nov-20,47282-007,Energy Supply Improvement Investment Program Tranche 6,AFG,Afghanistan,Central and West Asia,CWRD,CWEN,Sovereign,120,MFF-Tranche (Grant),Grant,0742,ADB funds,ADF,110,Energy,Energy,,Dual-use,Medium,5,22.7,Investment,USD,https://www.adb.org/projects/47282-007/main,,,,,,,,,,,,,,
17-Dec-20,47282-009,Energy Supply Improvement Investment Program (Tranche 7),AFG,Afghanistan,Central and West Asia,CWRD,CWEN,Sovereign,157,MFF-Tranche (Grant),Grant,0769,ADB funds,ADF,36.4,Energy,Energy,,Dual-use,Medium,,1.75,Investment,USD,https://www.adb.org/projects/47282-009/main,,,,,,,,,,,,,,
17-Dec-20,47282-009,Energy Supply Improvement Investment Program (Tranche 7),AFG,Afghanistan,Central and West Asia,CWRD,CWEN,Sovereign,,MFF-Tranche (Grant),Grant,0770,Cofinancing (Syndicated/Contractual),Afghanistan Infrastructure Trust Fund,118,Energy,Energy,,Dual-use,Medium,20.6,7.58,Investment,USD,https://www.adb.org/projects/47282-009/main,,,,,,,,,,,,,,
18-May-20,54190-001,Emergency Assistance for COVID-19 Pandemic Response,AFG,Afghanistan,Central and West Asia,CWRD,AFRM,Sovereign,40.8,Project grant,Grant,0700,ADB funds,ADF,40,Health,Health,,Mitigation,Low,,1,Investment,USD,https://www.adb.org/projects/54190-001/main,,,,,,,,,,,,,,
15-Oct-20,51132-002,Sustainable Water Supply and Sanitation Sector Development Program,GEO,Georgia,Central and West Asia,CWRD,CWUW,Sovereign,153.725,SDP - Program loan,Loan,3982,ADB funds,OCR,20.95626237,Water and other urban infrastructure and services,Water and other urban infrastructure and services,"Agriculture, natural resources and rural development",Dual-use,Medium,,,Investment,USD,https://www.adb.org/projects/51132-002/main,,,,,,,,,,,,,,
15-Oct-20,51132-002,Sustainable Water Supply and Sanitation Sector Development Program,GEO,Georgia,Central and West Asia,CWRD,CWUW,Sovereign,,SDP - Program loan,Loan,3985,ADB funds,OCR,136.21570539,Water and other urban infrastructure and services,Water and other urban infrastructure and services,"Agriculture, natural resources and rural development",Dual-use,Medium,9.9,6.5,Investment,USD,https://www.adb.org/projects/51132-002/main,,,,,,,,,,,,,,
05-Jun-20,54181-001,Emergency Assistance for Fighting the COVID-19 Pandemic,PAK,Pakistan,Central and West Asia,CWRD,PRM,Sovereign,532.95436847,Project loan,Loan,3923,ADB funds,OCR,300,Health,Health,Public sector management,Dual-use,Low,1,10,Investment,USD,https://www.adb.org/projects/54181-001/main,,,,,,,,,,,,,,
05-Jun-20,54181-001,Emergency Assistance for Fighting the COVID-19 Pandemic,PAK,Pakistan,Central and West Asia,CWRD,PRM,Sovereign,,Project loan,Grant,0701,Cofinancing (Syndicated/Contractual),Norway,5.28076866,Health,Health,Public sector management,Dual-use,Low,,,Investment,USD,https://www.adb.org/projects/54181-001/main,,,,,,,,,,,,,,
